ticra_cat,hobbies
2,Art
3,Art
5,Art
3,Art
2,Art
6,Art
5,Art
1,Art
6,Art
3,Art
4,Art
1,Art
1,Art
5,Art
2,Art
4,Art
1,Art
5,Art
3,Art
5,Art
5,Art
6,Art
2,Art
3,Art
6,Art
4,Art
1,Art
3,Art
3,Art
5,Art
1,Art
1,Art
3,Art
4,Art
4,Art
2,Art
2,Art
2,Art
6,Art
3,Art
4,Art
6,Art
2,Art
2,Art
4,Art
4,Art
4,Art
1,Art
5,Art
2,Art
1,Art
2,Art
3,Art
2,Art
3,Art
5,Art
6,Art
4,Art
2,Art
4,Art
6,Art
5,Art
6,Art
3,Art
6,Art
4,Art
3,Art
1,Art
2,Art
2,Art
3,Art
5,Art
3,Art
1,Art
5,Art
4,Art
1,Art
4,Art
5,Art
4,Art
3,Art
1,Art
1,Art
1,Art
1,Art
6,Art
5,Art
5,Art
2,Art
3,Art
6,Art
1,Art
5,Art
2,Art
1,Art
1,Art
1,Art
2,Art
6,Art
6,Art
1,Art
5,Art
2,Art
2,Art
6,Art
3,Art
5,Art
2,Art
3,Art
5,Art
2,Art
2,Art
6,Art
4,Art
5,Art
3,Art
4,Art
4,Art
1,Art
6,Art
1,Art
3,Art
6,Art
1,Art
6,Art
5,Art
5,Art
5,Art
1,Art
6,Art
1,Art
5,Art
5,Art
1,Art
3,Art
3,Art
1,Art
2,Art
5,Art
3,Art
3,Art
6,Art
3,Art
5,Art
4,Art
5,Art
1,Art
1,Art
2,Art
1,Art
1,Art
5,Art
4,Art
5,Art
5,Art
4,Art
2,Art
3,Art
5,Art
1,Art
5,Art
1,Art
1,Art
1,Art
3,Art
3,Art
1,Art
4,Art
2,Art
4,Art
6,Art
1,Art
1,Art
3,Art
1,Art
2,Art
4,Art
5,Art
3,Art
1,Art
4,Art
4,Art
6,Art
4,Art
6,Art
1,Art
2,Art
3,Art
4,Art
6,Art
5,Art
4,Art
4,Art
1,Art
4,Art
4,Art
5,Art
1,Art
4,Art
3,Art
1,Art
5,Art
2,Art
4,Art
4,Art
2,Art
4,Art
3,Art
6,Art
3,Art
3,Art
1,Art
2,Art
2,Art
2,Art
1,Art
6,Art
3,Art
3,Art
3,Art
1,Art
3,Art
2,Art
6,Art
4,Art
2,Art
4,Art
2,Art
6,Art
3,Art
2,Art
2,Art
5,Art
2,Art
1,Art
1,Art
3,Art
3,Art
2,Art
2,Art
6,Art
5,Art
1,Art
1,Art
4,Art
5,Art
6,Art
3,Art
3,Art
5,Art
5,Art
6,Art
2,Art
1,Art
6,Art
2,Art
6,Art
2,Art
2,Art
5,Art
5,Art
3,Art
2,Art
1,Art
4,Art
2,Art
1,Art
6,Art
2,Art
4,Art
5,Art
3,Art
2,Art
2,Art
5,Art
4,Art
2,Art
5,Art
3,Art
5,Art
1,Art
5,Art
5,Art
4,Art
5,Art
5,Art
5,Art
6,Art
5,Art
6,Art
5,Art
1,Art
2,Art
6,Art
4,Art
3,Art
5,Art
2,Art
5,Art
2,Art
6,Art
2,Art
4,Art
2,Art
2,Art
3,Art
6,Art
4,Art
6,Art
5,Art
2,Art
4,Art
5,Art
5,Art
3,Art
2,Art
5,Art
6,Art
4,Art
5,Art
3,Art
3,Art
3,Art
6,Art
5,Art
2,Art
4,Art
3,Art
3,Art
4,Art
2,Art
4,Art
3,Art
1,Art
2,Art
6,Art
2,Art
6,Art
4,Art
5,Art
2,Art
5,Art
6,Art
1,Art
6,Art
4,Art
3,Art
2,Art
1,Art
2,Art
1,Art
5,Art
1,Art
5,Art
2,Art
3,Art
4,Art
4,Art
1,Art
6,Art
2,Art
1,Art
3,Art
4,Art
5,Art
1,Art
3,Art
1,Art
6,Art
5,Art
1,Art
2,Art
1,Art
5,Art
3,Art
6,Art
4,Art
3,Art
3,Art
6,Art
3,Art
4,Art
6,Art
3,Art
6,Art
1,Art
6,Art
5,Art
6,Art
5,Art
4,Art
5,Art
1,Art
6,Art
5,Art
3,Art
6,Art
4,Art
3,Art
4,Art
5,Art
3,Art
2,Art
6,Art
3,Art
3,Art
2,Art
4,Art
4,Art
4,Art
5,Art
2,Art
1,Art
6,Art
4,Art
5,Art
1,Art
3,Art
2,Art
4,Art
4,Art
6,Art
3,Art
3,Art
4,Art
2,Art
4,Art
2,Art
1,Art
1,Art
5,Art
6,Art
6,Art
5,Art
2,Art
2,Art
4,Art
4,Art
1,Art
6,Art
6,Art
3,Art
4,Art
4,Art
4,Art
2,Art
2,Art
6,Art
1,Art
3,Art
2,Art
4,Art
2,Art
2,Art
6,Art
6,Art
1,Art
4,Art
2,Art
4,Art
5,Art
1,Art
6,Art
6,Art
6,Art
5,Art
1,Art
1,Art
6,Art
6,Art
2,Art
1,Art
6,Art
6,Art
5,Art
4,Art
2,Art
5,Art
3,Art
2,Art
5,Art
6,Art
2,Art
6,Art
5,Art
4,Art
6,Art
3,Art
1,Art
4,Art
5,Art
2,Art
3,Art
5,Art
1,Art
5,Art
6,Art
4,Art
3,Art
5,Art
4,Art
2,Art
4,Art
2,Art
5,Art
6,Art
4,Art
2,Art
1,Art
1,Art
1,Art
5,Art
1,Art
3,Art
5,Art
6,Art
1,Art
1,Art
1,Art
5,Art
4,Art
2,Art
1,Art
5,Art
2,Art
3,Art
5,Art
3,Art
3,Art
6,Art
3,Art
4,Art
2,Art
3,Art
3,Art
5,Art
6,Art
4,Art
3,Art
6,Art
2,Art
4,Art
5,Art
6,Art
3,Art
1,Art
5,Art
2,Art
1,Art
1,Art
2,Art
1,Art
4,Art
4,Art
6,Art
3,Art
4,Art
6,Art
3,Art
2,Art
5,Art
1,Art
3,Art
6,Art
3,Art
5,Art
5,Art
4,Art
6,Art
6,Art
3,Art
1,Art
3,Art
6,Art
3,Art
1,Art
6,Art
6,Art
4,Art
6,Art
4,Art
1,Art
6,Art
1,Art
5,Art
6,Art
3,Art
1,Art
1,Art
2,Art
4,Art
1,Art
5,Art
3,Art
2,Art
2,Art
5,Art
2,Art
5,Art
5,Art
6,Art
6,Art
3,Art
6,Art
3,Art
3,Art
5,Art
1,Art
1,Art
1,Art
4,Art
3,Art
4,Art
4,Art
6,Art
5,Art
5,Art
2,Art
2,Art
6,Art
4,Art
3,Art
3,Art
2,Art
5,Art
2,Art
1,Art
5,Art
1,Art
5,Art
2,Art
2,Art
1,Art
4,Art
3,Art
1,Art
3,Art
2,Art
2,Art
1,Art
6,Art
5,Art
1,Art
2,Art
1,Art
3,Art
3,Art
3,Art
6,Art
6,Art
3,Art
6,Art
5,Art
2,Art
3,Art
5,Art
4,Art
3,Art
4,Art
1,Art
3,Art
3,Art
3,Art
3,Art
1,Art
2,Art
1,Art
1,Art
3,Art
6,Art
3,Art
5,Art
2,Art
2,Art
2,Art
6,Art
2,Art
4,Art
2,Art
4,Art
4,Art
4,Art
3,Art
6,Art
3,Art
4,Art
1,Art
3,Art
3,Art
6,Art
2,Art
5,Art
2,Art
3,Art
1,Art
3,Art
4,Art
6,Art
2,Art
6,Art
4,Art
4,Art
5,Art
5,Art
1,Art
4,Art
5,Art
2,Art
1,Art
5,Art
4,Art
1,Art
5,Art
3,Art
5,Art
6,Art
1,Art
3,Art
3,Art
1,Art
1,Art
6,Art
1,Art
5,Art
5,Art
5,Art
3,Art
1,Art
5,Art
6,Art
1,Art
5,Art
2,Art
6,Art
6,Art
5,Art
5,Art
4,Art
5,Art
3,Art
6,Art
5,Art
6,Art
6,Art
6,Art
1,Art
1,Art
1,Art
3,Art
1,Art
1,Art
2,Art
2,Art
3,Art
1,Art
3,Art
6,Art
4,Art
1,Art
6,Art
6,Art
4,Art
6,Art
3,Art
3,Art
6,Art
5,Art
2,Art
6,Art
2,Art
3,Art
5,Art
3,Art
4,Art
4,Art
4,Art
6,Art
5,Art
1,Art
3,Art
4,Art
3,Art
1,Art
6,Art
2,Art
1,Art
4,Art
2,Art
4,Art
5,Art
2,Art
3,Art
1,Art
2,Art
5,Art
5,Art
5,Art
4,Art
3,Art
6,Art
4,Art
1,Art
4,Art
1,Art
6,Art
2,Art
5,Art
1,Art
1,Art
5,Art
3,Art
6,Art
5,Art
4,Art
3,Art
4,Art
3,Art
6,Art
6,Art
5,Art
4,Art
6,Art
1,Art
4,Art
5,Art
4,Art
2,Art
5,Art
1,Art
5,Art
6,Art
6,Art
1,Art
5,Art
3,Art
1,Art
5,Art
4,Art
1,Art
4,Art
2,Art
3,Art
5,Art
3,Art
3,Art
4,Art
5,Art
4,Art
6,Art
6,Art
2,Art
2,Art
1,Art
5,Art
5,Art
6,Art
5,Art
1,Art
5,Art
6,Art
3,Art
5,Art
4,Art
2,Art
3,Art
2,Art
3,Art
6,Art
4,Art
3,Art
4,Art
6,Art
3,Art
4,Art
1,Art
6,Art
4,Art
3,Art
5,Art
1,Art
1,Art
1,Art
4,Art
3,Art
2,Art
2,Art
3,Art
5,Art
1,Art
1,Art
1,Art
5,Art
2,Art
1,Art
6,Art
6,Art
2,Art
2,Art
6,Art
6,Art
5,Art
6,Art
2,Art
4,Art
6,Art
1,Art
5,Art
4,Art
5,Art
6,Art
4,Art
1,Art
6,Art
2,Art
2,Art
5,Art
1,Art
5,Art
4,Art
6,Art
4,Art
4,Art
2,Art
6,Art
4,Art
6,Art
2,Art
3,Art
5,Art
5,Art
5,Art
5,Art
4,Art
1,Art
3,Art
4,Art
4,Art
2,Art
5,Art
4,Art
1,Art
2,Art
6,Art
6,Art
2,Art
4,Art
6,Art
5,Art
5,Art
2,Art
5,Art
1,Art
2,Art
5,Art
6,Art
1,Art
6,Art
5,Art
4,Art
3,Art
4,Art
1,Art
5,Art
5,Art
3,Art
2,Art
6,Art
2,Art
2,Art
5,Art
2,Art
2,Art
1,Art
5,Art
5,Art
3,Art
5,Art
2,Art
4,Art
6,Art
4,Art
3,Art
6,Art
1,Art
5,Art
1,Art
3,Art
3,Art
5,Art
5,Art
5,Art
5,Art
6,Art
1,Art
2,Art
5,Art
6,Art
3,Art
4,Art
4,Art
3,Art
1,Art
4,Art
3,Art
1,Art
1,Art
4,Art
4,Art
2,Art
4,Art
2,Art
1,Art
1,Art
6,Art
4,Art
2,Art
4,Art
2,Art
6,Art
4,Art
3,Art
2,Art
2,Art
6,Art
4,Art
1,Art
1,Art
2,Art
3,Art
2,Art
2,Art
1,Art
5,Art
4,Art
4,Art
1,Art
5,Art
4,Art
1,Art
2,Art
3,Art
1,Art
3,Art
5,Art
3,Art
2,Art
2,Art
3,Art
2,Art
6,Art
1,Art
3,Art
1,Art
5,Art
3,Art
1,Art
2,Art
5,Art
3,Art
3,Art
2,Art
6,Art
2,Art
5,Art
6,Art
1,Art
1,Art
2,Art
5,Art
5,Art
1,Art
2,Art
5,Art
2,Art
2,Art
2,Art
3,Art
4,Art
5,Art
1,Art
5,Art
3,Art
4,Art
1,Art
3,Art
3,Art
6,Art
3,Art
3,Art
5,Art
2,Art
6,Art
1,Art
3,Art
1,Art
4,Art
4,Art
3,Art
6,Art
1,Art
3,Art
4,Art
6,Art
4,Art
2,Art
6,Art
6,Art
4,Art
4,Art
2,Art
6,Art
1,Art
5,Art
3,Art
6,Art
1,Art
3,Art
1,Art
3,Art
3,Art
2,Art
6,Art
4,Art
6,Art
4,Art
4,Art
5,Art
6,Art
4,Art
1,Art
5,Art
1,Art
5,Art
3,Art
6,Art
6,Art
5,Art
3,Art
6,Art
3,Art
2,Art
4,Art
1,Art
6,Art
6,Art
4,Art
4,Art
2,Art
3,Art
1,Art
6,Art
4,Art
1,Art
4,Art
6,Art
3,Art
6,Art
2,Art
5,Art
1,Art
2,Art
3,Art
6,Art
2,Art
1,Art
2,Art
5,Art
6,Art
1,Art
3,Art
1,Art
1,Art
3,Art
3,Art
5,Art
3,Art
3,Art
6,Art
3,Art
6,Art
2,Art
6,Art
6,Art
2,Art
6,Art
4,Art
5,Art
2,Art
3,Art
4,Art
4,Art
4,Art
2,Art
3,Art
5,Art
5,Art
1,Art
6,Art
5,Art
6,Art
5,Art
5,Art
2,Art
6,Art
3,Art
1,Art
2,Art
6,Art
3,Art
1,Art
2,Art
5,Art
1,Art
3,Art
6,Art
4,Art
3,Art
5,Art
5,Art
6,Art
5,Art
3,Art
1,Art
5,Art
3,Art
4,Art
6,Art
3,Art
5,Art
6,Art
6,Art
5,Art
3,Art
6,Art
1,Art
6,Art
2,Art
1,Art
5,Art
6,Art
6,Art
2,Art
6,Art
1,Art
6,Art
2,Art
4,Art
4,Art
2,Art
1,Art
1,Art
4,Art
6,Art
2,Art
3,Art
5,Art
5,Art
1,Art
3,Art
2,Art
3,Art
2,Art
2,Art
6,Art
6,Art
1,Art
5,Art
6,Art
6,Art
6,Art
1,Art
6,Art
1,Art
5,Art
5,Art
3,Art
6,Art
1,Art
1,Art
4,Art
6,Art
2,Art
5,Art
6,Art
1,Art
5,Art
2,Art
5,Art
4,Art
2,Art
4,Art
5,Art
1,Art
1,Art
2,Art
2,Art
6,Art
4,Art
5,Art
4,Art
3,Art
5,Art
2,Art
3,Art
5,Art
6,Art
3,Art
3,Art
2,Art
2,Art
2,Art
5,Art
2,Art
4,Art
4,Art
5,Art
5,Art
2,Art
3,Art
1,Art
6,Art
5,Art
3,Art
3,Art
2,Art
1,Art
6,Art
6,Art
5,Art
3,Art
3,Art
1,Art
2,Art
3,Art
3,Art
3,Art
1,Art
2,Art
4,Art
4,Art
1,Art
1,Art
1,Art
2,Art
1,Art
4,Art
4,Art
5,Art
3,Art
2,Art
1,Art
1,Art
6,Art
1,Art
3,Art
5,Art
3,Art
2,Art
3,Art
6,Art
2,Art
2,Art
1,Art
4,Art
3,Art
1,Art
2,Art
1,Art
5,Art
4,Art
2,Art
1,Art
3,Art
4,Art
1,Art
2,Art
2,Art
5,Art
2,Art
6,Art
4,Art
1,Art
1,Art
5,Art
6,Art
6,Art
1,Art
4,Art
1,Art
5,Art
4,Art
6,Art
4,Art
4,Art
3,Art
1,Art
6,Art
1,Art
6,Art
3,Art
2,Art
5,Art
4,Art
3,Art
6,Art
2,Art
6,Art
6,Art
5,Art
2,Art
6,Art
4,Art
4,Art
1,Art
5,Art
4,Art
3,Art
4,Art
2,Art
2,Art
2,Art
5,Art
3,Art
6,Art
1,Art
5,Art
1,Art
3,Art
4,Art
5,Art
1,Art
2,Art
2,Art
2,Art
6,Art
1,Art
1,Art
6,Art
6,Art
1,Art
2,Art
4,Art
3,Art
5,Art
2,Art
4,Art
6,Art
5,Art
1,Art
4,Art
3,Art
6,Art
6,Art
4,Art
6,Art
2,Art
2,Art
4,Art
2,Art
1,Art
5,Art
3,Art
3,Art
6,Art
5,Art
5,Art
5,Art
4,Art
2,Art
5,Art
3,Art
2,Art
6,Art
3,Art
3,Art
1,Art
3,Art
2,Art
3,Art
6,Art
6,Art
5,Art
3,Art
4,Art
3,Art
4,Art
5,Art
1,Art
2,Art
2,Art
2,Art
6,Art
6,Art
